tenBan,loai,tenKhoaHoc,loaiCha,nguon,ghiChu
Cá ali,chuaTra,,,kingaqua,Cichlid hồ Malawi — chỉ tới cấp giống
Cá thè be,chuaTra,,,kingaqua,
Cá otto,chuaTra,,,kingaqua,Otocinclus — chưa rõ loài nào
Cá chuột trân châu,chuaTra,,,kingaqua,
Cá chuột mỹ,chuaTra,,,kingaqua,
Cá chuột sao,chuaTra,,,kingaqua,
Cá chuột cafe,chuaTra,,,kingaqua,
Cá chuột botia,chuaTra,,,kingaqua,
Cá nana,chuaTra,,,kingaqua,
Cá vạn long,chuaTra,,,kingaqua,
Cá ngân bình,chuaTra,,,kingaqua,
Cá hồng tử kỳ,chuaTra,,,kingaqua,
Cá hồng nhung,chuaTra,,,kingaqua,
Cá kitti tetra,chuaTra,,,kingaqua,
Cá bống tê giác,chuaTra,,,kingaqua,
Cá thạch mỹ nhân,chuaTra,,,kingaqua,
Cá Chạch Culi,chuaTra,,,senaquatic,Kuhli loach — Pangio sp.
Cá Neon Vua Cardinal,chuaTra,,,senaquatic,Trùng với cá neon vua ở kingaqua — cần gộp khi curate
Cá Dario Scarlet Badis,chuaTra,,,senaquatic,
Cá Thủy Tinh Râu Rồng,chuaTra,,,senaquatic,Ghost glass catfish
Cá Mèo Đốm Petricola,chuaTra,,,senaquatic,
Cá Chuột Pygmy,chuaTra,,,senaquatic + kingaqua,
Cá Sóc Platinum Firehead,chuaTra,,,senaquatic,
Cá Pleco L333,chuaTra,,,senaquatic,
Cá Pleco L600,chuaTra,,,senaquatic,
Cá Pleco L397,chuaTra,,,senaquatic,
Cá Pleco 191,chuaTra,,,senaquatic,
Cá Khủng Long 6 Sừng,chuaTra,,,thuysinhtim,Axolotl — Ambystoma mexicanum là kỳ giông chứ không phải cá
Cá Killi Blue Gularis,chuaTra,,,thuysinhtim,
Cá Nóc Da Beo,chuaTra,,,thuysinhtim,
Cá Đĩa Lam,chuaTra,,,thuysinhtim,Có thể là dòng cá dĩa — cần đối chiếu
Cá Hải Long Tầng Giữa,chuaTra,,,thuysinhtim,Red line pipefish
Cá Chình Nước Ngọt,chuaTra,,,thuysinhtim,Freshwater moray eel
